@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute accLH {0,1,2,3,4,5}
@attribute buttonsLH {0,1,2,3}
@attribute accRH {0,1,2,3,4,5}
@attribute buttonsRH {0,1,2,3}

@data
1873,'2018/04/23 22:31:05:644',106,503,417,265,0,0,503,417,265,0,0,1,?,?,?
1874,'2018/04/23 22:31:05:740',106,503,417,265,0,0,503,417,265,0,0,1,?,?,?
1875,'2018/04/23 22:31:05:839',106,507,417,265,0,0,507,417,265,0,0,1,?,?,?
1876,'2018/04/23 22:31:05:934',106,503,417,265,0,0,503,417,265,0,0,1,?,?,?
1877,'2018/04/23 22:31:06:028',106,503,417,265,0,0,503,417,265,0,0,1,?,?,?
1878,'2018/04/23 22:31:06:125',106,503,413,269,0,0,503,413,269,0,0,1,?,?,?
1879,'2018/04/23 22:31:06:221',106,503,421,265,0,0,503,421,265,0,0,1,?,?,?
1880,'2018/04/23 22:31:06:320',106,503,421,265,0,0,526,472,249,0,0,1,?,?,?
1881,'2018/04/23 22:31:06:508',106,503,417,265,0,0,503,417,265,0,0,1,?,?,?
1882,'2018/04/23 22:31:06:604',106,507,417,269,0,0,507,417,269,0,0,1,?,?,?
1883,'2018/04/23 22:31:06:701',106,503,417,269,0,0,503,417,269,0,0,1,?,?,?
1884,'2018/04/23 22:31:06:794',106,503,417,269,0,0,530,472,257,0,0,1,?,?,?
1885,'2018/04/23 22:31:06:892',106,507,421,257,0,0,507,421,257,0,0,1,?,?,?
1886,'2018/04/23 22:31:06:988',106,503,413,269,0,0,503,413,269,0,0,1,?,?,?
1887,'2018/04/23 22:31:07:085',106,507,421,265,0,0,507,421,265,0,0,1,?,?,?
1888,'2018/04/23 22:31:07:184',106,503,413,269,0,0,503,413,269,0,0,1,?,?,?
1889,'2018/04/23 22:31:07:372',106,507,425,257,0,0,507,425,257,0,0,1,?,?,?
1890,'2018/04/23 22:31:07:469',106,503,413,269,0,0,503,413,269,0,0,1,?,?,?
1891,'2018/04/23 22:31:07:567',106,507,417,265,0,0,507,417,265,0,0,1,?,?,?
1892,'2018/04/23 22:31:07:661',106,507,417,265,0,0,507,417,265,0,0,1,?,?,?
1893,'2018/04/23 22:31:07:755',106,507,417,265,0,0,530,472,249,0,0,1,?,?,?
1894,'2018/04/23 22:31:07:758',106,507,417,265,0,0,530,472,249,0,0,1,?,?,?
1895,'2018/04/23 22:31:07:850',106,507,417,265,0,0,526,472,253,0,0,1,?,?,?
1896,'2018/04/23 22:31:07:855',106,507,417,265,0,0,526,472,253,0,0,1,?,?,?
1897,'2018/04/23 22:31:07:954',106,503,417,265,0,0,503,417,265,0,0,1,?,?,?
1898,'2018/04/23 22:31:08:044',106,499,413,257,0,0,499,413,257,0,0,1,?,?,?
1899,'2018/04/23 22:31:08:141',106,522,421,269,0,0,522,421,269,0,0,1,?,?,?
1900,'2018/04/23 22:31:08:236',106,522,421,269,0,0,522,472,249,0,0,1,?,?,?
1901,'2018/04/23 22:31:08:239',106,522,421,269,0,0,522,472,249,0,0,1,?,?,?
1902,'2018/04/23 22:31:08:430',106,503,421,257,0,0,503,421,257,0,0,1,?,?,?
1903,'2018/04/23 22:31:08:524',106,507,417,269,0,0,507,417,269,0,0,1,?,?,?
1904,'2018/04/23 22:31:08:620',106,507,417,269,0,0,507,417,269,0,0,1,?,?,?
1905,'2018/04/23 22:31:08:813',106,495,429,249,0,0,495,429,249,0,0,1,?,?,?
1906,'2018/04/23 22:31:08:912',106,503,409,280,0,0,503,409,280,0,0,1,?,?,?
1907,'2018/04/23 22:31:09:004',106,503,425,257,0,0,503,425,257,0,0,1,?,?,?
1908,'2018/04/23 22:31:09:195',106,503,417,273,0,0,534,468,249,0,0,1,?,?,?
1909,'2018/04/23 22:31:09:293',106,499,417,265,0,0,499,417,265,0,0,1,?,?,?
1910,'2018/04/23 22:31:09:390',106,503,421,261,0,0,503,421,261,0,0,1,?,?,?
1911,'2018/04/23 22:31:09:486',106,503,417,261,0,0,503,417,261,0,0,1,?,?,?
1912,'2018/04/23 22:31:09:580',106,503,413,273,0,0,503,413,273,0,0,1,?,?,?
1913,'2018/04/23 22:31:09:675',106,503,413,273,0,0,530,472,253,0,0,1,?,?,?
1914,'2018/04/23 22:31:09:678',106,503,413,273,0,0,530,472,253,0,0,1,?,?,?
1915,'2018/04/23 22:31:09:774',106,495,421,261,0,0,495,421,261,0,0,1,?,?,?
1916,'2018/04/23 22:31:09:873',106,503,413,269,0,0,503,413,269,0,0,1,?,?,?
1917,'2018/04/23 22:31:10:061',106,499,417,265,0,0,499,417,265,0,0,1,?,?,?
1918,'2018/04/23 22:31:10:155',106,499,417,265,0,0,530,468,253,0,0,1,?,?,?
1919,'2018/04/23 22:31:10:157',106,499,417,265,0,0,530,468,253,0,0,1,?,?,?
1920,'2018/04/23 22:31:23:311',107,491,519,261,0,0,491,519,261,0,0,1,?,?,?
1921,'2018/04/23 22:31:23:406',107,487,526,261,0,0,487,526,261,0,0,1,?,?,?
1922,'2018/04/23 22:31:23:501',107,472,530,241,0,0,472,530,241,0,0,1,?,?,?
1923,'2018/04/23 22:31:23:597',107,476,515,261,0,0,476,515,261,0,0,1,?,?,?
1924,'2018/04/23 22:31:23:696',107,487,522,273,0,0,487,522,273,0,0,1,?,?,?
1925,'2018/04/23 22:31:23:794',107,472,526,249,0,0,472,526,249,0,0,1,?,?,?
1926,'2018/04/23 22:31:23:885',107,487,522,261,0,0,487,522,261,0,0,1,?,?,?
1927,'2018/04/23 22:31:23:981',107,483,519,253,0,0,483,519,253,0,0,1,?,?,?
1928,'2018/04/23 22:31:24:075',107,483,519,253,0,0,495,519,245,0,0,1,?,?,?
1929,'2018/04/23 22:31:24:080',107,483,519,253,0,0,495,519,245,0,0,1,?,?,?
1930,'2018/04/23 22:31:24:183',107,491,519,257,0,0,491,519,257,0,0,1,?,?,?
1931,'2018/04/23 22:31:24:268',107,495,519,257,0,0,495,519,257,0,0,1,?,?,?
1932,'2018/04/23 22:31:24:366',107,487,526,249,0,0,487,526,249,0,0,1,?,?,?
1933,'2018/04/23 22:31:24:462',107,487,522,253,0,0,487,522,253,0,0,1,?,?,?
1934,'2018/04/23 22:31:24:652',107,476,519,257,0,0,476,519,257,0,0,1,?,?,?
1935,'2018/04/23 22:31:24:749',107,507,515,265,0,0,507,515,265,0,0,1,?,?,?
1936,'2018/04/23 22:31:24:845',107,507,550,253,0,0,507,550,253,0,0,1,?,?,?
1937,'2018/04/23 22:31:24:944',107,476,534,249,0,0,476,534,249,0,0,1,?,?,?
1938,'2018/04/23 22:31:25:037',107,479,526,253,0,0,479,526,253,0,0,1,?,?,?
1939,'2018/04/23 22:31:25:134',107,487,522,261,0,0,487,522,261,0,0,1,?,?,?
1940,'2018/04/23 22:31:25:229',107,479,522,261,0,0,479,522,261,0,0,1,?,?,?
1941,'2018/04/23 22:31:25:328',107,483,519,257,0,0,483,519,257,0,0,1,?,?,?
1942,'2018/04/23 22:31:25:423',107,479,519,253,0,0,479,519,253,0,0,1,?,?,?
1943,'2018/04/23 22:31:25:514',107,479,519,253,0,0,487,515,245,0,0,1,?,?,?
1944,'2018/04/23 22:31:25:518',107,479,519,253,0,0,487,515,245,0,0,1,?,?,?
1945,'2018/04/23 22:31:25:613',107,487,530,257,0,0,487,530,257,0,0,1,?,?,?
1946,'2018/04/23 22:31:25:710',107,483,526,257,0,0,483,526,257,0,0,1,?,?,?
1947,'2018/04/23 22:31:25:805',107,487,519,253,0,0,487,519,253,0,0,1,?,?,?
1948,'2018/04/23 22:31:25:899',107,511,511,249,0,0,511,511,249,0,0,1,?,?,?
1949,'2018/04/23 22:31:25:996',107,511,511,249,0,0,460,519,253,0,0,1,?,?,?
1950,'2018/04/23 22:31:25:999',107,511,511,249,0,0,460,519,253,0,0,1,?,?,?
1951,'2018/04/23 22:31:26:190',107,483,507,265,0,0,483,507,265,0,0,1,?,?,?
1952,'2018/04/23 22:31:26:284',107,479,538,245,0,0,479,538,245,0,0,1,?,?,?
1953,'2018/04/23 22:31:26:380',107,479,522,253,0,0,479,522,253,0,0,1,?,?,?
1954,'2018/04/23 22:31:26:478',107,487,519,257,0,0,487,519,257,0,0,1,?,?,?
1955,'2018/04/23 22:31:26:578',107,483,522,253,0,0,483,522,253,0,0,1,?,?,?
1956,'2018/04/23 22:31:26:668',107,479,522,249,0,0,479,522,249,0,0,1,?,?,?
1957,'2018/04/23 22:31:31:754',108,515,526,253,0,0,460,519,253,0,0,1,?,?,?
1958,'2018/04/23 22:31:31:756',108,515,526,253,0,0,460,519,253,0,0,1,?,?,?
1959,'2018/04/23 22:31:31:853',108,519,526,261,0,0,519,526,261,0,0,1,?,?,?
1960,'2018/04/23 22:31:31:949',108,511,526,253,0,0,511,526,253,0,0,1,?,?,?
1961,'2018/04/23 22:31:32:048',108,511,526,253,0,0,511,526,253,0,0,1,?,?,?
1962,'2018/04/23 22:31:32:143',108,511,526,249,0,0,511,526,249,0,0,1,?,?,?
1963,'2018/04/23 22:31:32:237',108,507,522,257,0,0,507,522,257,0,0,1,?,?,?
1964,'2018/04/23 22:31:32:335',108,511,526,257,0,0,511,526,257,0,0,1,?,?,?
1965,'2018/04/23 22:31:32:432',108,511,526,253,0,0,511,526,253,0,0,1,?,?,?
1966,'2018/04/23 22:31:32:525',108,511,526,253,0,0,511,526,253,0,0,1,?,?,?
1967,'2018/04/23 22:31:32:621',108,511,526,253,0,0,511,526,253,0,0,1,?,?,?
1968,'2018/04/23 22:31:32:714',108,511,526,253,0,0,460,519,257,0,0,1,?,?,?
1969,'2018/04/23 22:31:32:716',108,511,526,253,0,0,460,519,257,0,0,1,?,?,?
1970,'2018/04/23 22:31:32:814',108,511,526,249,0,0,511,526,249,0,0,1,?,?,?
1971,'2018/04/23 22:31:32:909',108,507,526,249,0,0,507,526,249,0,0,1,?,?,?
1972,'2018/04/23 22:31:33:005',108,515,526,253,0,0,515,526,253,0,0,1,?,?,?
1973,'2018/04/23 22:31:33:100',108,511,526,257,0,0,511,526,257,0,0,1,?,?,?
1974,'2018/04/23 22:31:33:199',108,511,526,257,0,0,460,519,253,0,0,1,?,?,?
1975,'2018/04/23 22:31:33:296',108,515,522,257,0,0,515,522,257,0,0,1,?,?,?
1976,'2018/04/23 22:31:33:389',108,511,526,257,0,0,511,526,257,0,0,1,?,?,?
1977,'2018/04/23 22:31:33:483',108,511,526,257,0,0,511,526,257,0,0,1,?,?,?
1978,'2018/04/23 22:31:33:581',108,511,526,253,0,0,511,526,253,0,0,1,?,?,?
1979,'2018/04/23 22:31:33:681',108,511,519,261,0,0,511,519,261,0,0,1,?,?,?
